MHT,42.933,-71.436
MIA,25.793,-80.291
MKE,42.947,-87.897
MKG,43.169,-86.238
MKK,21.153,-157.096
MLB,28.103,-80.645
MLI,41.449,-90.507
MLU,32.511,-92.038
MMH,37.624,-118.838
MOB,30.691,-88.243
MOT,48.259,-101.280
MQT,46.354,-87.395
MRI,61.214,-149.844
MRY,36.587,-121.843
MSN,43.140,-89.338
MSO,46.916,-114.091
MSP,44.882,-93.222
MSY,29.993,-90.258
MTJ,38.510,-107.894
MVY,41.393,-70.614
MWA,37.755,-89.011
MYR,33.680,-78.928
OAJ,34.829,-77.612
OAK,37.721,-122.221
OGD,41.196,-112.012
OGG,20.899,-156.430
OKC,35.393,-97.601
OMA,41.303,-95.894
OME,64.512,-165.445
ONT,34.056,-117.601
ORD,41.979,-87.905
ORF,36.895,-76.201
ORH,42.267,-71.876
OTH,43.417,-124.246
OTZ,66.885,-162.599
OWB,37.740,-87.167
PAH,37.061,-88.774
PBG,44.651,-73.468
PBI,26.683,-80.096
PDX,45.589,-122.598
PGD,26.920,-81.991
PGV,35.635,-77.385
PHF,37.132,-76.493
PHL,39.872,-75.241
PHX,33.434,-112.012
PIA,40.664,-89.693
PIE,27.910,-82.687
PIH,42.910,-112.596
PIT,40.492,-80.233
PLN,45.571,-84.797
PNS,30.473,-87.187
PPG,-14.331,-170.710
PQI,46.689,-68.045
PSC,46.265,-119.119
PSE,18.008,-66.563
PSG,56.802,-132.945
PSM,43.078,-70.823
PSP,33.830,-116.507
PUW,46.744,-117.110
PVD,41.733,-71.420
PWM,43.646,-70.309
RAP,44.045,-103.057
RDM,44.254,-121.150
RDU,35.878,-78.787
RFD,42.195,-89.097
RHI,45.631,-89.467
RIC,37.505,-77.320
RKD,44.060,-69.099
RKS,41.594,-109.065
RNO,39.499,-119.768
ROA,37.325,-79.975
ROC,43.119,-77.672
ROP,14.174,145.243
ROW,33.302,-104.531
RST,43.908,-92.500
RSW,26.536,-81.755
SAN,32.734,-117.190
SAT,29.534,-98.470
SAV,32.128,-81.202
SBN,41.709,-86.317
SBP,35.237,-120.642
SBY,38.340,-75.510
SCC,70.195,-148.465
SCE,40.849,-77.849
SCK,37.894,-121.238
SDF,38.174,-85.736
SDY,47.707,-104.193
SEA,47.449,-122.309
SFB,28.778,-81.238
SFO,37.619,-122.375
SGF,37.246,-93.389
SHV,32.447,-93.826
SIG,18.457,-66.098
SIT,57.047,-135.362
SJC,37.363,-121.929
SJT,31.358,-100.496
SJU,18.439,-66.002
SLC,40.788,-111.978
SMF,38.695,-121.591
SMX,34.899,-120.457
SNA,33.676,-117.868
SPI,39.844,-89.678
SPN,15.119,145.729
SRQ,27.395,-82.554
STC,45.547,-94.060
STL,38.749,-90.370
STS,38.509,-122.813
STT,18.337,-64.973
STX,17.702,-64.799
SUN,43.504,-114.296
SUX,42.403,-96.384
SWF,41.504,-74.105
SYR,43.111,-76.106
TIQ,14.999,145.619
TLH,30.396,-84.350
TOL,41.587,-83.808
TPA,27.976,-82.533
TRI,36.475,-82.407
TTN,40.277,-74.813
TUL,36.198,-95.888
TUS,32.116,-110.941
TVC,44.741,-85.582
TWF,42.482,-114.488
TXK,33.454,-93.991
TYR,32.354,-95.402
TYS,35.811,-83.994
UIN,39.943,-91.195
UNK,63.888,-160.799
USA,35.388,-80.709
UST,29.959,-81.340
VDZ,61.134,-146.248
VGT,36.211,-115.194
VLD,30.782,-83.277
VPS,30.483,-86.525
VQS,18.116,-65.423
WRG,56.484,-132.370
WST,41.350,-71.803
XNA,36.282,-94.307
YAK,59.503,-139.660
YKM,46.568,-120.544
YNG,41.261,-80.679
YUM,32.657,-114.606
